ip.src,ip.dst,eth.addr,eth.dst,frame.time_relative,frame.time_delta,label
98035027,3253489514,115848086057608,115848086057608,0.0,0.0,Abnormal_Traffic
1347488552,1542973513,188194502993945,188194502993945,0.000385,0.000385,Abnormal_Traffic
2053479744,1092413464,4754214429298,4754214429298,0.002072,0.001687,Abnormal_Traffic
3908210972,2355885408,149069977429158,149069977429158,0.002424,0.000352,Abnormal_Traffic
692955396,2660973117,86080524491827,86080524491827,0.007847,0.005423,Abnormal_Traffic
4212626734,1582975034,251739483222380,251739483222380,0.014302,0.006455,Abnormal_Traffic
2806816271,4162262060,17753281875716,17753281875716,0.024853,0.010551,Abnormal_Traffic
3278249476,687472242,280011826187368,280011826187368,0.057909,0.033056,Abnormal_Traffic
658201928,1380581141,95869750161185,95869750161185,0.06805,0.010141,Abnormal_Traffic
3168439398,2890330226,6572665470086,6572665470086,0.06991,0.00186,Abnormal_Traffic
2393940820,1810664493,184191520725134,184191520725134,0.073736,0.003826,Abnormal_Traffic
1421095705,2118216213,95683504631075,95683504631075,0.074369,0.000633,Abnormal_Traffic
2391449418,4063416104,59752696703751,59752696703751,0.081519,0.00715,Abnormal_Traffic
2112600581,4031202862,108403403332679,108403403332679,0.084081,0.002562,Abnormal_Traffic
399183649,2633503324,79460640664827,79460640664827,0.08524,0.001159,Abnormal_Traffic
678584856,377792365,150603147992551,150603147992551,0.089357,0.004117,Abnormal_Traffic
556332872,2247494926,8844730742161,8844730742161,0.091181,0.001824,Abnormal_Traffic
2421764155,1458373388,69419362034228,69419362034228,0.096119,0.004938,Abnormal_Traffic
1802737705,3803391546,203692114527186,203692114527186,0.103884,0.007765,Abnormal_Traffic
635001363,3550754636,196246719658660,196246719658660,0.107849,0.003965,Abnormal_Traffic
2473836848,4065442165,108819576953286,108819576953286,0.118797,0.010948,Abnormal_Traffic
978108522,2874389031,71331244573041,71331244573041,0.123924,0.005127,Abnormal_Traffic
526645805,599772449,279161902917328,279161902917328,0.125299,0.001375,Abnormal_Traffic
563493695,340302929,141651681012614,141651681012614,0.13442,0.009121,Abnormal_Traffic
2713303564,2531046460,100678132391964,100678132391964,0.145518,0.011098,Abnormal_Traffic
3646310751,3320721666,182017347353523,182017347353523,0.156035,0.010517,Abnormal_Traffic
2314960906,3727658014,207366664460274,207366664460274,0.158055,0.00202,Abnormal_Traffic
3081791757,1692332303,213460797590324,213460797590324,0.168364,0.010309,Abnormal_Traffic
4277060888,795495955,93540180097320,93540180097320,0.169004,0.00064,Abnormal_Traffic
1153049131,3698219867,91757049022592,91757049022592,0.170091,0.001087,Abnormal_Traffic
191206720,171705942,91859087575020,91859087575020,0.175921,0.00583,Abnormal_Traffic
826855953,2920429880,192566790189084,192566790189084,0.177448,0.001527,Abnormal_Traffic
2592014703,972880491,269663149764477,269663149764477,0.18286,0.005412,Abnormal_Traffic
1621039468,137162576,279028339584067,279028339584067,0.184155,0.001295,Abnormal_Traffic
3875409508,2047655995,81110141310233,81110141310233,0.185399,0.001244,Abnormal_Traffic
3188433510,1546414204,212946190675984,212946190675984,0.185959,0.00056,Abnormal_Traffic
4059842843,2536627530,60003970867191,60003970867191,0.193602,0.007643,Abnormal_Traffic
3608689721,1219852120,108535576058520,108535576058520,0.194389,0.000787,Abnormal_Traffic
3441485575,2042059341,206346207546555,206346207546555,0.196348,0.001959,Abnormal_Traffic
3930593805,2760771881,197438556953316,197438556953316,0.203619,0.007271,Abnormal_Traffic
1363891229,1014215003,110339675057625,110339675057625,0.209165,0.005546,Abnormal_Traffic
3032004873,1001180935,120447668548473,120447668548473,0.210263,0.001098,Abnormal_Traffic
3854039412,1076120909,94399929308176,94399929308176,0.21118,0.000917,Abnormal_Traffic
1657706358,2820698373,95473304626126,95473304626126,0.21695,0.00577,Abnormal_Traffic
3104869951,3465776727,29531462029354,29531462029354,0.217397,0.000447,Abnormal_Traffic
3329673757,2927538986,220755836402342,220755836402342,0.218022,0.000625,Abnormal_Traffic
3150463246,2300046956,43195936681736,43195936681736,0.219064,0.001042,Abnormal_Traffic
18245733,4269291852,76315848641343,76315848641343,0.22711,0.008046,Abnormal_Traffic
446109743,2513107722,227956218512522,227956218512522,0.227585,0.000475,Abnormal_Traffic
1353137758,3693539107,36690514520306,36690514520306,0.228163,0.000578,Abnormal_Traffic
3221323795,1796986968,116571594024134,116571594024134,0.232546,0.004383,Abnormal_Traffic
2085032224,189088064,265726003866558,265726003866558,0.233867,0.001321,Abnormal_Traffic
2366131457,1985616495,42553916307322,42553916307322,0.234252,0.000385,Abnormal_Traffic
706680439,3478241821,16837379757218,16837379757218,0.234379,0.000127,Abnormal_Traffic
1969429512,3612631124,99013209905281,99013209905281,0.235038,0.000659,Abnormal_Traffic
3216231442,629445383,167655223210506,167655223210506,0.240232,0.005194,Abnormal_Traffic
1956613688,3988052481,213948494970346,213948494970346,0.240796,0.000564,Abnormal_Traffic
276278053,528605473,187044837582100,187044837582100,0.241794,0.000998,Abnormal_Traffic
35254105,4257114454,68219604036495,68219604036495,0.242227,0.000433,Abnormal_Traffic
375785783,2850463823,57479850845752,57479850845752,0.248587,0.00636,Abnormal_Traffic
2297838870,703677967,28014384080953,28014384080953,0.24888,0.000293,Abnormal_Traffic
1426945332,3099455260,200815495332892,200815495332892,0.248988,0.000108,Abnormal_Traffic
420120423,3703506531,218089801846372,218089801846372,0.249255,0.000267,Abnormal_Traffic
283108214,2865297786,38288482423948,38288482423948,0.249983,0.000728,Abnormal_Traffic
1414324268,332835150,209767076859033,209767076859033,0.256221,0.006238,Abnormal_Traffic
1084801347,139912041,263106945270916,263106945270916,0.257956,0.001735,Abnormal_Traffic
2983853180,3730038112,225902284322172,225902284322172,0.259771,0.001815,Abnormal_Traffic
1197617743,248378966,205059290495479,205059290495479,0.263904,0.004133,Abnormal_Traffic
1514066196,3433237615,155010909047304,155010909047304,0.264277,0.000373,Abnormal_Traffic
2386833686,3680754725,46775937848731,46775937848731,0.265062,0.000785,Abnormal_Traffic
2254054432,4035813491,186003996592531,186003996592531,0.266124,0.001062,Abnormal_Traffic
3222259801,2620140412,72491957951965,72491957951965,0.273,0.006876,Abnormal_Traffic
140867351,3985343798,104759958714318,104759958714318,0.274431,0.001431,Abnormal_Traffic
1174505816,2369218315,7547371901268,7547371901268,0.281749,0.007318,Abnormal_Traffic
4181115446,2315263559,223133574196846,223133574196846,0.293162,0.011413,Abnormal_Traffic
1085787435,2554749265,159299954905166,159299954905166,0.295283,0.002121,Abnormal_Traffic
1782196740,3846897218,175137851367240,175137851367240,0.301588,0.006305,Abnormal_Traffic
3832470839,1901924615,132105934747760,132105934747760,0.303823,0.002235,Abnormal_Traffic
2439516175,1869085761,52433733960084,52433733960084,0.306749,0.002926,Abnormal_Traffic
3641312547,3824531523,133846452389930,133846452389930,0.309367,0.002618,Abnormal_Traffic
381996300,4148906859,20742229173270,20742229173270,0.310381,0.001014,Abnormal_Traffic
2220408105,3231010376,51871364000384,51871364000384,0.315593,0.005212,Abnormal_Traffic
382932789,890578444,101198580009018,101198580009018,0.323878,0.008285,Abnormal_Traffic
881612805,3591090792,210315494786729,210315494786729,0.325278,0.0014,Abnormal_Traffic
2909247568,3236922198,66622562532528,66622562532528,0.326031,0.000753,Abnormal_Traffic
2000540209,1502771528,74489246472292,74489246472292,0.328754,0.002723,Abnormal_Traffic
2483201115,3487917831,170806806202826,170806806202826,0.33676,0.008006,Abnormal_Traffic
1434722672,1899531635,216401728112089,216401728112089,0.340952,0.004192,Abnormal_Traffic
2731141657,1082299445,221297149994314,221297149994314,0.346349,0.005397,Abnormal_Traffic
3131553636,3556801363,71463264037925,71463264037925,0.35268,0.006331,Abnormal_Traffic
1307314965,1070596213,257611585035259,257611585035259,0.366913,0.014233,Abnormal_Traffic
352736005,3371658784,41981225351421,41981225351421,0.371843,0.00493,Abnormal_Traffic
931786599,2548339770,242153969523816,242153969523816,0.372485,0.000642,Abnormal_Traffic
1126345546,734313525,245017954263905,245017954263905,0.373125,0.00064,Abnormal_Traffic
2104423517,2940035453,169561256634494,169561256634494,0.374282,0.001157,Abnormal_Traffic
1825367418,1915094830,65545886419812,65545886419812,0.379952,0.00567,Abnormal_Traffic
3041020936,1753202253,41081681152077,41081681152077,0.38038,0.000428,Abnormal_Traffic
1906009101,2012392970,275443671151376,275443671151376,0.381548,0.001168,Abnormal_Traffic
3902839316,3549112658,114071166213946,114071166213946,0.381907,0.000359,Abnormal_Traffic
